ASV	subclade	sseqid	sacc	stitle	sscinames	staxids	sskingdoms	sblastnames	pident	slen	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
asv_0D3_01419	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01495	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01516	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.857	2234828	280	34	0	279	558	1086523	1086802	1.8e-92	352
asv_0D3_01546	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.857	2234828	280	34	0	279	558	1086523	1086802	1.8e-92	352
asv_0D3_01554	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.38	2234828	279	38	0	280	558	1881574	1881852	1.69e-86	333
asv_0D3_01555	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01581	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_01586	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.199	2234828	277	41	0	282	558	1881576	1881852	4.53e-81	315
asv_0D3_01604	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01621	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01653	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01664	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.5	2234828	280	35	0	1	280	1086327	1086606	7.66e-91	348
asv_0D3_01666	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.182	2234828	275	38	0	282	556	1881576	1881850	2.5e-84	325
asv_0D3_01682	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_01703	UC-A	gi|1233021400|gb|CP022736.1|	CP022736	Herbaspirillum sp. meg3, complete genome	N/A	2025949	N/A	N/A	73.234	5465798	269	72	0	4	272	1061012	1060744	6.3e-35	161
asv_0D3_01709	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01710	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01732	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	88.214	2234828	280	33	0	279	558	1086523	1086802	1.48e-93	357
asv_0D3_01744	UC-A	gi|1982882334|gb|CP018226.1|	CP018226	Rhizobiales bacterium IMCC20636 chromosome, complete genome	N/A	1914869	N/A	N/A	72.165	4790321	194	53	1	283	475	995842	995649	1.48e-17	104
asv_0D3_01766	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	81.413	2234828	269	50	0	15	283	1177496	1177228	8.75e-65	260
asv_0D3_01794	UC-A	gi|2090720546|gb|CP063203.1|	CP063203	Marixanthomonas sp. SCSIO 43207 chromosome, complete genome	N/A	2779360	N/A	N/A	72.761	2959668	268	71	2	278	544	1918141	1917875	1.39e-30	148
asv_0D3_01799	UC-A	gi|1995570698|gb|CP070961.1|	CP070961	Nocardioides sp. zg-1228 chromosome, complete genome	N/A	2763008	N/A	N/A	75.877	4054875	228	53	2	332	558	782631	782405	2.68e-33	157
asv_0D3_01819	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_01825	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_01837	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.365	2234828	277	35	0	282	558	1881576	1881852	3.26e-89	343
asv_0D3_01838	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_01844	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	88.087	2234828	277	33	0	282	558	1881576	1881852	6.29e-92	352
asv_0D3_01861	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.818	2234828	275	39	0	282	556	1881576	1881850	1.06e-82	321
asv_0D3_01875	UC-A	gi|2108062438|gb|CP070753.1|	CP070753	MAG: Burkholderiales bacterium isolate bin300 chromosome	N/A	1891238	N/A	N/A	76.889	3024972	225	52	0	325	549	574975	574751	3.49e-38	172
asv_0D3_01884	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01885	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.116	2234828	277	44	0	282	558	1881576	1881852	2.86e-77	302
asv_0D3_01896	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01897	II-WPC2	gi|1137430945|gb|CP015093.1|	CP015093	Salipiger abyssi strain JLT2014, complete sequence	N/A	1250539	N/A	N/A	76.159	4246390	151	34	2	5	154	3253525	3253376	1.49e-17	104
asv_0D3_01915	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01920	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.56	2234828	277	40	0	282	558	1881576	1881852	1.06e-82	320
asv_0D3_01931	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.132	2234828	272	35	0	8	279	1881567	1881838	1.69e-86	334
asv_0D3_01961	II-WPC2	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	83.571	2234828	280	46	0	280	559	1881573	1881852	3.49e-76	298
asv_0D3_01980	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01988	II-WPC2	gi|2076410358|gb|CP076039.1|	CP076039	Opitutae bacterium ISCC 53 isolate F3 chromosome, complete genome	N/A	2684113	N/A	N/A	70.946	4086264	148	43	0	316	463	2171144	2171291	2.52e-8	74.3
asv_0D3_02015	UC-A	gi|1770110742|gb|CP045354.1|	CP045354	Labrenzia sp. THAF82 chromosome, complete genome	N/A	2587861	N/A	N/A	75.09	6395015	277	67	2	280	555	3766088	3766363	6.73e-41	182
asv_0D3_02021	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_02029	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_02031	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_02039	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.56	2234828	277	40	0	282	558	1881576	1881852	1.06e-82	320
asv_0D3_02053	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_02087	UC-A	gi|671752698|gb|CP003984.1|	CP003984	Planktomarina temperata RCA23, complete genome	N/A	666509	N/A	N/A	97.309	3288122	223	6	0	336	558	2870001	2869779	1.58e-99	376
asv_0D3_02088	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.56	2234828	277	40	0	282	558	1881576	1881852	1.06e-82	320
asv_0D3_02090	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_02102	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	91.844	2234828	282	23	0	277	558	782090	781809	3.25e-108	406
asv_0D3_02111	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_02112	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.926	2234828	272	41	0	8	279	1881567	1881838	2.35e-78	306
asv_0D3_02133	UC-A	gi|338856530|gb|JF307569.1|	JF307569	Synechococcus sp. WH 8016 cytochrome b6 gene, partial cds	N/A	166318	N/A	N/A	93.19	559	558	38	0	1	558	2	559	0	836
asv_0D3_02133	UC-A	gi|1003340858|gb|KU705406.1|	KU705406	Synechococcus sp. A1898-78m cytochrome b6 (petB) gene, partial cds	N/A	1811763	N/A	N/A	93.19	559	558	38	0	1	558	2	559	0	836
asv_0D3_02152	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.116	2234828	277	44	0	282	558	1881576	1881852	2.86e-77	302
asv_0D3_02154	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02167	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.365	2234828	277	35	0	282	558	1881576	1881852	3.26e-89	343
asv_0D3_02186	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.5	2234828	280	35	0	1	280	1086327	1086606	7.66e-91	348
asv_0D3_02206	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.365	2234828	277	35	0	282	558	1881576	1881852	3.26e-89	343
asv_0D3_02213	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02214	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.132	2234828	272	35	0	8	279	1881567	1881838	1.69e-86	334
asv_0D3_02217	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_02230	II-WPC2	gi|226517984|gb|CP001327.1|	CP001327	Micromonas sp. RCC299 chromosome 6, complete sequence	N/A	296587	N/A	N/A	79.741	1431126	232	35	2	1	232	1399088	1399307	4.85e-49	209
asv_0D3_02230	II-WPC2	gi|255079659|ref|XM_002503364.1|	XM_002503364	Micromonas commoda predicted protein partial mRNA	N/A	296587	N/A	N/A	79.741	708	232	35	2	1	232	274	55	4.85e-49	209
asv_0D3_02246	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_02251	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	91.135	2234828	282	25	0	277	558	782090	781809	1.69e-105	397
asv_0D3_02256	II-WPC2	gi|868878900|gb|CP010859.1|	CP010859	Marinovum algicola DG 898 plasmid pMaD4, complete sequence	N/A	988812	N/A	N/A	80.556	187673	252	49	0	280	531	112809	113060	1.22e-56	234
asv_0D3_02280	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_02282	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02283	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	92.553	2234828	282	21	0	277	558	782090	781809	6.28e-111	415
asv_0D3_02297	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	91.844	2234828	282	23	0	277	558	782090	781809	3.25e-108	406
asv_0D3_02316	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02325	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	93.333	2234828	285	15	2	276	558	782091	781809	1.21e-113	424
asv_0D3_02368	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.199	2234828	277	41	0	282	558	1881576	1881852	4.53e-81	315
asv_0D3_02382	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.282	2234828	277	38	0	282	558	1881576	1881852	2.06e-85	329
asv_0D3_02385	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_02386	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_02399	II-WPC2	gi|1226096935|gb|CP022540.1|	CP022540	Antarctobacter heliothermus strain SMS3 chromosome, complete genome	N/A	74033	N/A	N/A	80.233	4723013	258	51	0	280	537	2447830	2447573	3.49e-57	236
asv_0D3_02416	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.56	2234828	277	40	0	282	558	1881576	1881852	1.06e-82	320
asv_0D3_02419	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02436	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_02438	UC-A	gi|1701129114|emb|LR633944.1|	LR633944	Gadus morhua genome assembly, chromosome: 2	N/A	8049	N/A	N/A	77.869	28732775	122	18	8	118	234	4232525	4232642	8.77e-8	71.6
asv_0D3_02446	II-WPC2	gi|2076410358|gb|CP076039.1|	CP076039	Opitutae bacterium ISCC 53 isolate F3 chromosome, complete genome	N/A	2684113	N/A	N/A	70.946	4086264	148	43	0	316	463	2171144	2171291	2.52e-8	74.3
asv_0D3_02448	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02449	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02452	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.365	2234828	277	35	0	282	558	1881576	1881852	3.26e-89	343
asv_0D3_02453	II-WPC2	gi|1551405733|gb|CP033219.1|	CP033219	Parasedimentitalea marina strain W43 chromosome, complete genome	N/A	2483033	N/A	N/A	79.636	4417125	275	56	0	285	559	1042109	1041835	6.74e-60	244
asv_0D3_02461	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	91.039	2234828	279	25	0	1	279	1670437	1670159	7.17e-104	391
asv_0D3_02481	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02492	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_02495	UC-A	gi|1189026015|gb|CP019343.1|	CP019343	Oceanicoccus sagamiensis strain NBRC 107125 chromosome, complete genome	N/A	716816	N/A	N/A	72.864	4472079	199	54	0	327	525	4463026	4462828	2.35e-21	116
asv_0D3_02496	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.116	2234828	277	44	0	282	558	1881576	1881852	2.86e-77	302
asv_0D3_02498	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	94.834	2234828	271	13	1	1	270	782206	781936	1.21e-113	423
asv_0D3_02499	UC-A	gi|2095633906|emb|OU611762.1|	OU611762	Dunaliella primolecta genome assembly, chromosome: 12	N/A	257627	N/A	N/A	79.439	10042981	107	19	2	345	450	7115570	7115466	1.14e-12	88.7
asv_0D3_02501	II-WPC2	gi|56068487|gb|AY793947.1|	AY793947	Uncultured organism clone SIMO3-M13F_D11 unknown mRNA	N/A	155900	N/A	N/A	84.884	437	258	39	0	1	258	161	418	1.81e-73	290
asv_0D3_02535	II-WPC2	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	93.75	2234828	272	17	0	1	272	782207	781936	6.29e-111	415
asv_0D3_02538	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02542	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	92.632	2234828	285	17	2	276	558	782091	781809	6.28e-111	415
asv_0D3_02544	II-WPC2	gi|1895742380|gb|CP047931.1|	CP047931	Synechococcus sp. A15-28 chromosome, complete genome	N/A	1050638	N/A	N/A	69.627	2341586	563	127	10	1	542	317850	318389	2.87e-58	240
asv_0D3_02558	II-WPC2	gi|2073560871|ref|XM_012826177.3|	XM_012826177	PREDICTED: Clupea harengus ubiquitin specific peptidase 11 (usp11), mRNA	N/A	7950	N/A	N/A	71.856	5994	167	35	3	12	172	806	966	1.14e-12	87.8
asv_0D3_02564	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_02572	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	83.755	2234828	277	45	0	282	558	1881576	1881852	1.22e-75	297
asv_0D3_02580	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02581	II-WPC2	gi|1485772558|gb|CP020694.1|	CP020694	Sulfitobacter sp. D7 chromosome, complete genome	N/A	1968541	N/A	N/A	81.884	3371091	276	50	0	280	555	2294623	2294348	1.39e-68	273
asv_0D3_02582	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_02602	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	83.755	2234828	277	45	0	282	558	1881576	1881852	1.22e-75	297
asv_0D3_02611	II-WPC2	gi|226517984|gb|CP001327.1|	CP001327	Micromonas sp. RCC299 chromosome 6, complete sequence	N/A	296587	N/A	N/A	81.223	1431126	229	34	3	1	229	1399088	1399307	1.14e-50	214
